canonicalsmiles,smiles,inchikey,molecularweight
CCOC(=O)C1=CC=CC=C1C(=O)O,CCOC(=O)c1ccccc1C(=O)O,YWWHKOHZGJFMIE-UHFFFAOYSA-N,194.18
C(C(=CC(=O)O)C(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,GTZCVFVGUGFEME-UHFFFAOYSA-N,174.11
CNCC(C1=CC(=C(C=C1)O)O)O,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-UHFFFAOYSA-N,183.2
CC1(C2CCC(C2)C1(C)NC)C,CNC1(C)C2CCC(C2)C1(C)C,IMYZQPCYWPFTAG-NGZCFLSTSA-N,167.29
CCOC(=O)CC#N,CCOC(=O)CC#N,ZIUSEGSNTOUIPT-UHFFFAOYSA-N,113.11
CNCC(=O)O,CNCC(=O)O,FSYKKLYZXJSNPZ-UHFFFAOYSA-N,89.09
CC1=C(C=CC(=O)N1)N,Cc1[nH]c(=O)ccc1N,ZFZBTVLKTXKODT-UHFFFAOYSA-N,124.14
C1=CC2=C(C=C1[N+](=O)[O-])NC=N2,O=[N+]([O-])c1ccc2nc[nH]c2c1,XPAZGLFMMUODDK-UHFFFAOYSA-N,163.13
C(CC#N)CC#N,N#CCCCC#N,ZTOMUSMDRMJOTH-UHFFFAOYSA-N,94.11
CC1CNCCC2=C1C=C(C=C2)Cl,CC1CNCCc2ccc(Cl)cc21,XTTZERNUQAFMOF-QMMMGPOBSA-N,195.69
CC(CC(=O)O)C(=O)O,CC(CC(=O)O)C(=O)O,WXUAQHNMJWJLTG-VKHMYHEASA-N,132.11
CC1=CC(=C(C(=O)O1)C(=O)C)O.[Na],CC(=O)c1c(O)cc(C)oc1=O,NNZGIAMZHQTUAA-UHFFFAOYSA-N,191.14
C1=CC(=NN=C1C(=O)N)NN,NNc1ccc(C(N)=O)nn1,WRYZEGZNBYOMLE-UHFFFAOYSA-N,153.14
CN=C(N)N(C)C(=N)N,CN=C(N)N(C)C(=N)N,LJVNRPAERZRHDF-UHFFFAOYSA-N,129.16
CC(=O)NC(CCSC)C(=O)O,CSCCC(NC(C)=O)C(=O)O,XUYPXLNMDZIRQH-UHFFFAOYSA-N,191.25
CC1=CC=C(C=C1)C23CC2CNC3,Cc1ccc(C23CNCC2C3)cc1,OFYVIGTWSQPCLF-UHFFFAOYSA-N,173.25
C(=S)(N)N,NC(N)=S,UMGDCJDMYOKAJW-UHFFFAOYSA-N,76.12
CC(CON=O)O,CC(O)CON=O,KZMYCIZNYWKOFQ-UHFFFAOYSA-N,105.09
CC(C)CCO,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,88.15
CC(C)(C(Cl)(Cl)Cl)O,CC(C)(O)C(Cl)(Cl)Cl,OSASVXMJTNOKOY-UHFFFAOYSA-N,177.45
C(CC(=O)C(=O)O)CN=C(N)N,NC(N)=NCCCC(=O)C(=O)O,ARBHXJXXVVHMET-UHFFFAOYSA-N,173.17
CNCC(C1=CC(=C(C=C1)O)O)O,CNCC(O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-SECBINFHSA-N,183.2
CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,129.16
C1=CNC(=O)NC1=O,O=c1cc[nH]c(=O)[nH]1,ISAKRJDGNUQOIC-UHFFFAOYSA-N,112.09
C1C(O1)C(C(C2CO2)O)O,OC(C1CO1)C(O)C1CO1,AAFJXZWCNVJTMK-GUCUJZIJSA-N,146.14
CCOC1=CC=CC=C1C(=O)N,CCOc1ccccc1C(N)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,165.19
